HWM_ID,lat,lon,Description,elev_m,vdatum,elev_msl_m
353-ITX-02-027,29.303,-95.2668,Coastal - Stillwater Only,2.01168,NAVD88,2.2146447976
353-ITX-02-028,29.2479,-95.2363,Coastal - Stillwater Only,2.10312,NAVD88,2.2989315399
353-ITX-02-029,29.1966,-95.2989,Coastal - Stillwater Only,2.68224,NAVD88,2.8742741551
353-ITX-02-030,29.1127,-95.3745,Coastal - Stillwater Only,1.55448,NAVD88,1.7379561053
353-ITX-02-031,28.949,-95.5553,Coastal - Stillwater Only,1.61544,NAVD88,1.8125977555
353-ITX-02-032,28.8778,-95.4558,Coastal - Stillwater Only,1.6764,NAVD88,1.8741318376
353-ITX-02-033,28.8981,-95.3807,Coastal - Stillwater Only,2.19456,NAVD88,2.3638015178
353-ITX-02-034,28.9506,-95.3384,Coastal - Stillwater Only,2.01168,NAVD88,2.1714633335
353-ITX-02-035,28.9395,-95.2972,Coastal - Stillwater Only,2.22504,NAVD88,2.3804995083
353-ITX-02-036,28.9429,-95.2999,Coastal - Stillwater Only,2.34696,NAVD88,2.5024098821
353-ITX-02-037,28.9538,-95.282,Coastal - Stillwater Only,3.26136,NAVD88,3.4169139668
353-ITX-02-038,28.962,-95.2908,Coastal - Stillwater Only,2.34696,NAVD88,2.5059552856
353-ITX-04-011,28.9301,-95.313,Coastal - Stillwater Only,2.52984,NAVD88,2.6849746183
353-ITX-04-012,28.9301,-95.3128,Coastal - Wave Height,2.65176,NAVD88,2.8068946183
353-ITX-04-013,28.9354,-95.3038,Coastal - Stillwater Only,2.37744,NAVD88,2.5327734445
353-ITX-04-014,28.9484,-95.2924,Coastal - Stillwater Only,2.4384,NAVD88,2.5938080844
353-ITX-04-015,28.9626,-95.2734,Coastal - Stillwater Only,2.80416,NAVD88,2.9625148933
353-ITX-04-016,29.0136,-95.3308,Coastal - Stillwater Only,2.04216,NAVD88,2.2080116526
353-ITX-04-017,29.0955,-95.2839,Coastal - Stillwater Only,1.92024,NAVD88,2.1000236423
353-ITX-04-018,29.2098,-95.2105,Coastal - Stillwater Only,1.95072,NAVD88,2.1419704584
353-ITX-04-019,29.2845,-95.1294,Coastal - Stillwater Only,2.86512,NAVD88,3.0607937787
353-ITX-03-001,29.8755,-94.8295,Coastal - Stillwater Only,4.51104,NAVD88,4.7360955605
353-ITX-03-002,29.8476,-94.8044,Coastal - Wave Runup,3.93192,NAVD88,4.1512242338
353-ITX-03-003,29.6793,-94.9254,Coastal - Wave Height,3.81,NAVD88,4.0130865848
353-ITX-03-004,29.6599,-94.9165,Coastal - Wave Height,3.93192,NAVD88,4.1341792872
353-ITX-03-005,29.6945,-94.8654,Coastal - Wave Runup,5.24256,NAVD88,5.4454004772
353-ITX-03-006,29.7486,-94.8252,Coastal - Wave Height,4.69392,NAVD88,4.8988982723
353-ITX-03-007,29.8379,-94.7588,Coastal - Wave Runup,4.20624,NAVD88,4.4220539646
353-ITX-03-008,29.7729,-94.6856,Coastal - Wave Runup,4.78536,NAVD88,4.9918337529
353-ITX-03-009,29.6584,-94.6895,Coastal - Stillwater Only,4.1148,NAVD88,4.3136904327
353-ITX-03-010,29.7282,-94.6902,Coastal - Stillwater Only,5.05968,NAVD88,5.2650131435
353-ITX-03-011,29.6816,-94.6412,Coastal - Stillwater Only,3.53568,NAVD88,3.7385919581
353-ITX-03-012,29.6635,-94.6241,Coastal - Stillwater Only,4.69392,NAVD88,4.8958846764
353-ITX-03-013,29.538,-94.7614,Coastal - Stillwater Only,3.2004,NAVD88,3.385658016
353-ITX-03-014,29.526,-94.7581,Coastal - Wave Height,3.77952,NAVD88,3.9629382888
353-ITX-03-015,29.632,-94.7023,Coastal - Stillwater Only,4.66344,NAVD88,4.8593818505
353-ITX-03-016,29.6135,-94.5332,Coastal - Stillwater Only,4.4196,NAVD88,4.621126925
353-ITX-03-019,29.7149,-94.3755,Coastal - Stillwater Only,5.15112,NAVD88,5.3847142388
353-ITX-03-020,29.704,-94.4837,Coastal - Stillwater Only,5.334,NAVD88,5.5533480283
353-ITX-02-001,29.0957,-95.1097,Coastal - Stillwater Only,3.13944,NAVD88,3.3339445143
353-ITX-02-002,29.1299,-95.0585,Coastal - Stillwater Only,2.40792,NAVD88,2.5860372901
353-ITX-02-003,29.1476,-95.03,Coastal - Wave Runup,3.13944,NAVD88,3.3127304613
353-ITX-02-004,29.1894,-94.9777,Coastal - Stillwater Only,3.29184,NAVD88,3.4789087902
353-ITX-02-005,29.2445,-94.8743,Coastal - Stillwater Only,3.2004,NAVD88,3.3540222994
353-ITX-02-006,29.4726,-94.5955,Coastal - Wave Height,4.32816,NAVD88,4.4862308325
353-ITX-02-007,29.4615,-94.6302,Coastal - Wave Runup,4.81584,NAVD88,4.9823397488
353-ITX-02-008,29.4273,-94.6911,Coastal - Wave Height,4.51104,NAVD88,4.6652538457
353-ITX-02-009,29.3651,-94.7758,Coastal - Wave Height,3.23088,NAVD88,3.3524173948
353-ITX-02-010,29.3243,-94.7414,Coastal - Wave Height,4.75488,NAVD88,4.905739341
353-ITX-02-011,29.3073,-94.7941,Coastal - Stillwater Only,3.6576,NAVD88,3.8609392787
353-ITX-02-012,29.337,-94.7774,Coastal - Wave Height,4.02336,NAVD88,4.1854584674
353-ITX-02-013,29.2755,-94.8504,Coastal - Wave Runup,3.77952,NAVD88,3.9661770264
353-ITX-02-014,29.2952,-94.9168,Coastal - Stillwater Only,3.62712,NAVD88,3.8137567608
353-ITX-02-015,29.3003,-94.9152,Coastal - Stillwater Only,3.59664,NAVD88,3.783102447
353-ITX-02-016,29.3614,-94.9207,Coastal - Wave Runup,3.90144,NAVD88,4.0887540633
353-ITX-02-017,29.3911,-94.8873,Coastal - Wave Runup,4.7244,NAVD88,4.9071249527
353-ITX-02-019,29.4578,-95.021,Coastal - Stillwater Only,3.47472,NAVD88,3.6769121873
353-ITX-02-020,29.4572,-95.0475,Coastal - Stillwater Only,3.16992,NAVD88,3.3732071544
353-ITX-02-021,29.4365,-95.0922,Coastal - Stillwater Only,3.32232,NAVD88,3.5275503702
353-ITX-02-022,29.381,-95.0891,Coastal - Stillwater Only,4.08432,NAVD88,4.2853950026
353-ITX-02-023,29.3422,-95.0368,Coastal - Stillwater Only,3.13944,NAVD88,3.3345817178
353-ITX-02-024,29.3043,-94.9876,Coastal - Stillwater Only,3.71856,NAVD88,3.9079639512
353-ITX-02-025,29.3348,-94.9779,Coastal - Stillwater Only,3.32232,NAVD88,3.5130652047
353-ITX-03-017,29.5697,-94.3962,Coastal - Wave Runup,4.69392,NAVD88,4.8796223984
353-ITX-03-018,29.5574,-94.3916,Coastal - Wave Runup,5.91312,NAVD88,6.0787619933
353-ITX-04-001,29.0912,-95.1115,Coastal - Wave Runup,2.95656,NAVD88,3.1528521917
353-ITX-04-002,29.0931,-95.1107,Coastal - Wave Runup,3.26136,NAVD88,3.4568047776
353-ITX-04-003,29.1326,-95.0602,Coastal - Wave Height,3.26136,NAVD88,3.4477497145
353-ITX-04-004,29.1315,-95.0588,Coastal - Stillwater Only,2.86512,NAVD88,3.0515097145
353-ITX-04-005,29.1497,-95.0303,Coastal - Wave Runup,3.10896,NAVD88,3.292812151
353-ITX-04-006,29.1494,-95.0279,Coastal - Wave Runup,3.10896,NAVD88,3.2814156983
353-ITX-04-007,29.1737,-94.9977,Coastal - Wave Height,4.29768,NAVD88,4.4847844338
353-ITX-04-008,29.1866,-94.9655,Coastal - Stillwater Only,3.26136,NAVD88,3.4197144165
353-ITX-04-009,29.2365,-94.883,Coastal - Wave Height,3.99288,NAVD88,4.1461483074
353-ITX-04-010,29.3273,-94.772,Coastal - Wave Height,3.3528,NAVD88,3.524722341
353-ITX-04-020,29.3355,-95.0224,Coastal - Stillwater Only,3.16992,NAVD88,3.3638080086
353-ITX-04-021,29.3371,-95.0244,Coastal - Stillwater Only,3.23088,NAVD88,3.4247680086
353-ITX-04-028,29.5356,-95.0115,Coastal - Wave Height,5.09016,NAVD88,5.2938703921
353-ITX-04-029,29.5356,-95.0115,Coastal - Stillwater Only,4.69392,NAVD88,4.8976303921
353-ITX-04-030,29.5117,-94.9788,Coastal - Stillwater Only,4.63296,NAVD88,4.8362346077
353-ITX-04-031,29.5007,-94.9347,Coastal - Stillwater Only,3.77952,NAVD88,3.983172069
353-ITX-04-032,29.4644,-94.9743,Coastal - Wave Runup,3.71856,NAVD88,3.920196523
353-ITX-04-022,29.6155,-94.998,Coastal - Stillwater Only,3.90144,NAVD88,4.1052052582
353-ITX-04-023,29.6195,-95.0071,Coastal - Wave Height,3.81,NAVD88,4.0142258978
353-ITX-04-024,29.5652,-95.017,Coastal - Stillwater Only,3.93192,NAVD88,4.1359155556
353-ITX-04-025,29.5649,-95.069,Coastal - Wave Height,3.23088,NAVD88,3.4359362799
353-ITX-04-026,29.5386,-95.0851,Coastal - Stillwater Only,3.32232,NAVD88,3.5273786194
353-ITX-01-001,29.8666,-93.9343,Coastal - Wave Runup,3.71856,NAVD88,3.9785193401
353-ITX-01-002,29.9195,-93.8895,Coastal - Wave Runup,3.62712,NAVD88,3.9206492423
353-ITX-01-003,29.8654,-93.9314,Coastal - Wave Runup,3.47472,NAVD88,3.7351638066
353-ITX-01-004,29.8652,-93.9273,Coastal - Wave Runup,3.56616,NAVD88,3.8262599177
353-ITX-01-005,29.9486,-93.8769,Coastal - Wave Runup,3.56616,NAVD88,3.8687698013
353-ITX-01-006,29.972,-93.8633,Coastal - Stillwater Only,3.59664,NAVD88,3.9046707245
353-ITX-01-007,29.9721,-93.8633,Coastal - Wave Height,3.71856,NAVD88,4.0265907245
353-ITX-01-016,30.0963,-94.0933,Coastal - Stillwater Only,3.38328,NAVD88,3.7071325093
353-ITX-01-017,30.083,-94.0943,Coastal - Wave Runup,3.41376,NAVD88,3.7355901833
353-ITX-01-019,29.9964,-93.9498,Coastal - Stillwater Only,3.59664,NAVD88,3.9002315196
353-ITX-01-020,29.9689,-93.9134,Coastal - Stillwater Only,3.5052,NAVD88,3.8079563095
353-ITX-03-021,29.8785,-94.1604,Coastal - Stillwater Only,2.86512,NAVD88,3.1438501242
353-ITX-03-022,29.8494,-94.135,Coastal - Stillwater Only,3.44424,NAVD88,3.7247959635
353-ITX-03-023,29.7309,-93.8971,Coastal - Stillwater Only,3.9624,NAVD88,4.3134813415
353-ITX-03-024,29.8872,-94.0432,Coastal - Wave Runup,3.56616,NAVD88,3.8554342753
353-ITX-03-025,29.7945,-94.2279,Coastal - Stillwater Only,4.14528,NAVD88,4.4090767169
353-ITX-03-026,29.9434,-94.1302,Coastal - Stillwater Only,2.80416,NAVD88,3.091574968
353-ITX-03-027,29.9965,-94.1065,Coastal - Stillwater Only,2.92608,NAVD88,3.2233033891
353-ITX-03-028,30.0818,-94.0932,Coastal - Stillwater Only,3.53568,NAVD88,3.8575101833
353-ITX-03-029,30.0279,-94.1491,Coastal - Stillwater Only,2.68224,NAVD88,2.976715764
353-ITX-03-030,29.8694,-93.9325,Coastal - Wave Runup,3.90144,NAVD88,4.1599376554
353-ITX-03-031,29.8224,-93.9637,Coastal - Wave Height,3.56616,NAVD88,3.8564702636
353-ITX-01-008,30.0181,-93.8486,Coastal - Stillwater Only,3.10896,NAVD88,3.4151831839
353-ITX-01-009,30.0154,-93.837,Coastal - Stillwater Only,3.99288,NAVD88,4.2988653911
353-ITX-01-010,30.0915,-93.7268,Coastal - Stillwater Only,2.65176,NAVD88,2.9489095688
353-ITX-01-011,30.0773,-93.7448,Coastal - Stillwater Only,2.92608,NAVD88,3.2239420231
353-ITX-01-012,30.0741,-93.7236,Coastal - Stillwater Only,2.83464,NAVD88,3.1318914033
353-ITX-01-013,30.0748,-93.8493,Coastal - Stillwater Only,3.59664,NAVD88,3.9007675144
353-ITX-01-014,30.0507,-93.9184,Coastal - Stillwater Only,3.93192,NAVD88,4.2352754554
353-ITX-01-015,30.0972,-94.0671,Coastal - Stillwater Only,3.29184,NAVD88,3.6124497782
353-ITX-01-018,30.0535,-93.9735,Coastal - Stillwater Only,3.87096,NAVD88,4.1768223672
353-ITX-01-021,30.227,-93.7379,Coastal - Stillwater Only,3.01752,NAVD88,3.2718213096
353-ITX-01-022,30.1564,-93.7077,Coastal - Stillwater Only,2.34696,NAVD88,2.6117574491
353-ITX-01-023,30.1774,-93.7074,Coastal - Stillwater Only,2.52984,NAVD88,2.7897283808
353-ITX-01-024,30.0475,-93.7716,Coastal - Stillwater Only,3.29184,NAVD88,3.5926949213
353-ITX-01-025,30.066,-93.7456,Coastal - Stillwater Only,2.86512,NAVD88,3.1644442443
353-ITX-01-026,30.0452,-93.8139,Coastal - Stillwater Only,3.26136,NAVD88,3.5661952003
353-ITX-01-027,30.0957,-94.0893,Coastal - Stillwater Only,3.32232,NAVD88,3.6462315775
353-ITX-01-028,30.0964,-94.0573,Coastal - Stillwater Only,3.56616,NAVD88,3.8851953811
401-ILA-02-009,30.0817,-92.5062,Coastal - Stillwater Only,1.15824,NAVD88,1.3005828059
401-ILA-02-011,30.1898,-92.5898,Coastal - Stillwater Only,1.0668,NAVD88,1.2093384283
401-ILA-01-006,30.1906,-90.7862,Coastal - Stillwater Only,1.24968,NAVD88,1.5039859886
401-ILA-01-012,30.1735,-90.788,Coastal - Stillwater Only,1.15824,NAVD88,1.4125419056
401-ILA-03-005,30.0006,-91.1932,Coastal - Stillwater Only,1.24968,NAVD88,1.6008695239
401-ILA-03-006,29.957,-91.202,Coastal - Stillwater Only,0.94488,NAVD88,1.3143913957
401-ILA-03-007,29.9008,-91.1861,Coastal - Stillwater Only,0.88392,NAVD88,1.2701623599
401-ILA-03-008,29.8664,-91.1081,Coastal - Stillwater Only,0.88392,NAVD88,1.2477470795
