lon,lat,elev_m,vdatum,Description,HWM_ID,date,elev_msl_m
-73.9784,40.30687,5.7912,NAVD88,Fair debris line on mowed grass lawn,HWM-NJ-MON-101,10/30/2012,5.716593939
-73.9849,40.27598,5.30352,NAVD88,Fair debris on front yard,HWM-NJ-MON-102,10/30/2012,5.229340902
-73.9857,40.27621,4.45008,NAVD88,Poor debris line on mowed grass area,HWM-NJ-MON-103,10/30/2012,4.375900902
-73.992,40.257,4.17576,NAVD88,Good debris line on sidewalk and lawn of front yard,HWM-NJ-MON-104,10/30/2012,4.1015076032
-74.0087,40.23199,3.13944,NAVD88,Good debris line on concrete sidewalk,HWM-NJ-MON-105,10/30/2012,3.0685242861
-73.9997,40.22761,3.53568,NAVD88,Good debris line on empty grass lot,HWM-NJ-MON-106,10/30/2012,3.4620726446
-73.7492,40.77994,3.13944,NAVD88,Good seedline on power pole in park,HWM-NY-QUE-501,10/30/2012,3.0772002115
-73.7492,40.77994,3.13944,NAVD88,Good seedline on house garage,HWM-NY-QUE-502,10/30/2012,3.0772002115
-74.0131,40.21469,3.2004,NAVD88,Good debris line on concrete parking lot,HWM-NJ-MON-107,10/30/2012,3.1293001673
-74.0128,40.20718,3.38328,NAVD88,Poor debris line on mowed grassy park lawn,HWM-NJ-MON-108,10/30/2012,3.3125154733
-73.8493,40.79284,3.07848,NAVD88,Good washline in park,HWM-NY-QUE-503,10/30/2012,3.0208719469
-74.0203,40.19607,3.62712,NAVD88,Fair debris line,HWM-NJ-MON-109,10/30/2012,3.5583596795
-74.0594,40.18867,3.38328,NAVD88,Good debris line on mowed field,HWM-NJ-MON-110,10/30/2012,3.3264591604
-72.8549,40.7475,1.73736,NAVD88,Excellent wash line on side of garage,HWM-NY-SUF-401,10/30/2012,1.7163791874
-73.0137,40.7505,1.76784,NAVD88,Excellent wash line on side of shed,HWM-NY-SUF-402,10/30/2012,1.7610541425
-74.0363,40.61089,3.93192,NAVD88,Poor debris line,HWM-NY-KIN-903,10/30/2012,3.8661849654
-73.9905,40.70396,3.44424,NAVD88,Good seedline in window of Bubby's Restaurant and Bar,HWM-NY-KIN-504,10/30/2012,3.3407042435
-73.959,40.74169,3.26136,NAVD88,Good seedline on Amtrak facility,HWM-NY-QUE-505,10/30/2012,3.1846438973
-74.0001,40.59519,3.5052,NAVD88,Excellent seedline on wall inside building,HWM-NY-KIN-904,10/30/2012,3.4382518693
-74.0187,40.17219,3.6576,NAVD88,Fair debris line on mowed empty lot,HWM-NJ-MON-111,10/30/2012,3.5885988469
-74.0291,40.14376,2.77368,NAVD88,Good debris line on mowed yard,HWM-NJ-MON-112,10/30/2012,2.7081255749
-74.0421,40.14094,2.7432,NAVD88,Good debris line on mowed grass area,HWM-NJ-MON-113,10/30/2012,2.6835235652
-74.1099,40.13783,2.86512,NAVD88,Poor debris line on mowed grass,HWM-NJ-MON-114,10/30/2012,2.8324465442
-73.936,40.77227,3.32232,NAVD88,Good seedline on windows and brick of apartment building,HWM-NY-QUE-506,10/30/2012,3.2644037052
-73.2799,40.6853,2.25552,NAVD88,Poor debris line on grassy embankment,HWM-NY-SUF-403,10/30/2012,2.2637042206
-73.5302,40.8775,2.98704,NAVD88,Good seed line inside of building,HWM-NY-NAS-501,10/30/2012,2.91544866
-73.5366,40.87593,3.07848,NAVD88,Good seed line inside of building,HWM-NY-NAS-502,10/30/2012,3.0062774814
-74.883,38.9572,1.73736,NAVD88,Good debris line on side of road,HWM-NJ-CPM-001,10/29/2012,1.6481797242
-74.855,38.9588,1.61544,NAVD88,Good debris line in yard,HWM-NJ-CPM-002,10/29/2012,1.5262608045
