lon,lat,elev_m,vdatum,elev_msl_m
-81.362853,31.45385,2.688336,NAVD88,2.7638711335
-81.54944,30.72,1.755648,NAVD88,1.6508451903
-81.23827,32.00773,2.1037296,NAVD88,2.2322031799
-80.9006052,32.0309068,2.5334976,NAVD88,2.464965297
-81.68778,30.74194,1.8739104,NAVD88,1.8211782043
-81.38683,25.84512,2.676144,NAVD88,2.4706671199
-81.58139,30.77056,2.4298656,NAVD88,2.3617402254
-81.878,26.40377,1.225296,NAVD88,1.0780820492
-81.384513,25.850305,2.383536,NAVD88,2.1780815313
-81.384769,25.848879,2.458212,NAVD88,2.2527575313
-82.264778,26.766334,1.048512,NAVD88,0.8765398742
-81.434167,31.021316,2.185416,NAVD88,2.1048094798
-82.265427,26.765761,0.949452,NAVD88,0.7795759014
-81.27806,31.77,2.587752,NAVD88,2.8212515121
-81.51153646,25.95660229,1.527048,NAVD88,1.3321251207
-81.64848,25.92168,2.2268688,NAVD88,2.0370244897
-81.28839,31.97893,1.853184,NAVD88,1.9903390709
-81.64,31.03472,2.221992,NAVD88,2.2009754917
-80.992438,32.020124,2.6557224,NAVD88,2.6326978745
-80.960988,32.003653,2.5685496,NAVD88,2.5374841937
-81.04504,32.03515,2.42316,NAVD88,2.4362124682
-81.61389,31.11361,2.383536,NAVD88,2.3696145101
-81.15752,32.08365,3.072384,NAVD88,3.1411125811
-81.65889,31.19111,2.618232,NAVD88,2.6256897956
-81.19583,32.10583,1.9574256,NAVD88,2.0329776836
-81.18278,32.16083,2.119884,NAVD88,2.1781747796
-81.852039,26.47929,1.24968,NAVD88,1.1023006911
-81.70912,26.0499,1.2643104,NAVD88,1.0869742883
-81.58389,25.94819,1.594104,NAVD88,1.4040469458
-81.437078,31.368219,2.203704,NAVD88,2.2485334282
-81.4207222222,30.2875833333,1.5273528,NAVD88,1.4298254823
-80.3274277778,25.4380722222,1.517904,NAVD88,1.2532923088
-81.434994882,30.32414648,1.6501872,NAVD88,1.5209921804
-80.849398,32.008259,2.404872,NAVD88,2.3484260512
-80.852459,32.008416,2.395728,NAVD88,2.3398867664
-80.7022222222,32.4527777778,2.68224,NAVD88,2.6494905483
-80.775,32.39,2.602992,NAVD88,2.5699647311
-80.396882,27.763484,3.4460688,NAVD88,3.1101687913
-80.8138888889,32.2869444444,2.62128,NAVD88,2.5844332729
-80.7938888889,32.2311111111,2.642616,NAVD88,2.5977943614
-80.8086111111,32.1397222222,2.48412,NAVD88,2.4429593494
-80.7697222222,32.1766666667,2.502408,NAVD88,2.4396330363
-81.3699,24.6708,1.621536,NAVD88,1.3874391898
-81.70845,26.04606,1.2399264,NAVD88,1.0625902883
-81.3681,24.6697,2.0506944,NAVD88,1.8165975898
-78.891667,33.681111,2.16408,NAVD88,2.0471547902
-78.6166666667,33.8405555556,1.469136,NAVD88,1.3702856231
-78.8669444444,33.7405555556,1.213104,NAVD88,1.4183162504
-80.3413888889,32.6355555556,2.264664,NAVD88,2.2592003179
-81.7544,24.5521,0.896112,NAVD88,0.6480081281
-80.3391666667,32.4936111111,2.19456,NAVD88,2.1030183819
-81.3454,24.6691,2.3481792,NAVD88,2.1145428357
-81.4977,24.6658,1.7477232,NAVD88,1.5236904999
-79.1808333333,33.5130555556,1.170432,NAVD88,1.4267663942
-79.1691666667,33.3675,1.740408,NAVD88,1.7407039486
-81.8064,24.5607,0.870204,NAVD88,0.6180127246
-81.8064,24.5607,0.833628,NAVD88,0.5814367246
-79.1011111111,33.4708333333,1.81356,NAVD88,1.7809634342
-79.0313888889,33.5266666667,2.139696,NAVD88,2.0365110541
-79.0855555556,33.5619444444,1.978152,NAVD88,2.146145322
-81.54444,25.92674,1.926336,NAVD88,1.7316568292
-81.54444,25.92674,1.9812,NAVD88,1.7865208292
-81.4555,25.89539,1.658112,NAVD88,1.4574804709
-81.4555,25.89539,1.648968,NAVD88,1.4483364709
-81.51101,25.90887,2.075688,NAVD88,1.8782453045
-81.24991,25.70923,1.5547848,NAVD88,1.3368329211
-81.24991,25.70923,1.4511528,NAVD88,1.2332009211
-80.0286111111,32.6275,2.048256,NAVD88,1.985617829
-80.61303,24.93563,1.6639032,NAVD88,1.4024966591
-80.5042,25.035,0.5998464,NAVD88,0.3345088434
-81.03185,24.72817,1.5520416,NAVD88,1.2528771856
-80.4611,25.0746,1.923288,NAVD88,1.665737373
-80.493,25.0406,1.8412968,NAVD88,1.5754134735
-80.27934,25.31059,1.435608,NAVD88,1.1701187496
-80.45427,25.07735,1.7239488,NAVD88,1.4621462757
-80.25759,25.33281,1.4328648,NAVD88,1.1687924414
-80.39467,25.14001,1.7900904,NAVD88,1.5157700658
-80.31708,25.24536,1.556004,NAVD88,1.2885553363
-80.38558,25.16275,0.7306056,NAVD88,0.4508300103
-81.3581,24.6908,1.5047976,NAVD88,1.2995121104
-80.4923,25.0405,1.8656808,NAVD88,1.5997974735
-80.9083,24.773,1.594104,NAVD88,1.3299150845
-80.5123,25.0136,1.780032,NAVD88,1.5161100537
-81.4051,24.6495,2.0241768,NAVD88,1.7706302938
-81.479,24.6608,1.8275808,NAVD88,1.5930323356
-81.4788,24.663,1.9729704,NAVD88,1.7393519618
-81.4036,24.6608,1.854708,NAVD88,1.6054431786
-80.9216,24.7722,1.1317224,NAVD88,0.8714493309
-80.5521,24.9726,1.8361152,NAVD88,1.5673179216
-80.5339,24.9954,1.7056608,NAVD88,1.4399277964
-80.96085,24.75471,2.1613368,NAVD88,1.8880358244
-80.9667,24.75842,1.2012168,NAVD88,0.9337037633
-81.0827,24.69238,1.7608296,NAVD88,1.4774094545
-81.3315,24.6478,2.0955,NAVD88,1.8459702061
-81.3315,24.6478,1.9915632,NAVD88,1.7420334061
-80.542,24.9922,0.7321296,NAVD88,0.4664667809
-80.542,24.9922,0.7339584,NAVD88,0.4682955809
-80.4765,25.0615,0.7687056,NAVD88,0.5009548599
-80.4576,25.0836,0.7936992,NAVD88,0.5282874654
-80.62936,24.92219,1.7413224,NAVD88,1.5008030552
-81.33987,24.67145,2.1150072,NAVD88,1.8773838959
-81.37334,24.65208,1.636776,NAVD88,1.3693736193
-81.8128,26.2223,1.3234416,NAVD88,1.1621928863
-81.7871,26.1557,1.4423136,NAVD88,1.2737433795
-81.7892,26.1407,1.3539216,NAVD88,1.1935850161
-81.7845,26.1027,1.2746736,NAVD88,1.1077640692
-81.8007,26.0953,1.3210032,NAVD88,1.1429904415
-81.8306,26.2873,1.2018264,NAVD88,1.0413568382
-81.8306,26.2873,1.261872,NAVD88,1.1014024382
-81.802113,26.122383,1.24206,NAVD88,1.0792881641
-81.5518,24.6346,1.1195304,NAVD88,0.9680514836
-81.573,24.6478,1.0497312,NAVD88,0.9014199724
-81.3853,24.6569,2.0171664,NAVD88,1.762176925
-81.3891,24.676,1.2667488,NAVD88,1.0314744404
-81.3974,24.6874,1.2731496,NAVD88,1.0437507683
-81.44416,24.64337,1.6623792,NAVD88,1.4155277409
-81.44142,24.65116,2.03454,NAVD88,1.790253284
-81.44054,24.66241,1.2768072,NAVD88,1.0342750361
-65.90433,18.45036,1.8019776,PRVD02,1.8019776
-81.73634,25.970864,1.4953488,NAVD88,1.3036835529
-81.7177,25.9141,1.8464784,NAVD88,1.646677715
