lat,lon,quality,vdatum,elev_m,elev_msl_m
37.0775,-76.27639,Unknown/Historical,NGVD29,2.776728,2.989828
37.07528,-76.27806,Unknown/Historical,NGVD29,2.487168,2.700268
36.84389,-76.22861,Unknown/Historical,NGVD29,2.182368,2.366468
36.84389,-76.22861,Unknown/Historical,NGVD29,2.121408,2.305508
36.84528,-76.27778,Unknown/Historical,NGVD29,2.157984,2.340784
36.85028,-76.27861,Unknown/Historical,NGVD29,2.182368,2.366568
36.85583,-76.30556,Unknown/Historical,NGVD29,2.203704,2.381504
36.89833,-76.30528,Unknown/Historical,NGVD29,2.203704,2.360004
36.88833,-76.28528,Unknown/Historical,NGVD29,2.221992,2.374492
36.88833,-76.28528,Unknown/Historical,NGVD29,2.142744,2.295244
36.88361,-76.29528,Unknown/Historical,NGVD29,2.151888,2.309188
36.965,-76.29194,Unknown/Historical,NGVD29,2.106168,2.269468
36.96444,-76.28944,Unknown/Historical,NGVD29,2.161032,2.322732
36.96306,-76.2675,Unknown/Historical,NGVD29,2.173224,2.327124
36.95861,-76.26194,Unknown/Historical,NGVD29,2.106168,2.255268
36.95861,-76.26194,Unknown/Historical,NGVD29,2.084832,2.233932
36.96806,-76.29472,Unknown/Historical,NGVD29,2.14884,2.31594
36.96806,-76.29472,Unknown/Historical,NGVD29,2.1336,2.3007
36.93028,-76.19556,Unknown/Historical,NGVD29,2.124456,2.256956
36.92528,-76.19083,Unknown/Historical,NGVD29,2.039112,2.171512
36.93389,-76.21139,Unknown/Historical,NGVD29,2.081784,2.215484
36.93167,-76.21222,Unknown/Historical,NGVD29,1.993392,2.127092
36.93167,-76.21222,Unknown/Historical,NGVD29,2.14884,2.28254
36.90694,-76.09528,Unknown/Historical,NGVD29,1.953768,2.079368
36.90722,-76.11056,Unknown/Historical,NGVD29,1.871472,1.999572
36.90528,-76.07694,Unknown/Historical,NGVD29,1.905,2.0289
36.90583,-76.07306,Unknown/Historical,NGVD29,1.926336,2.050936
36.83222,-75.97389,Unknown/Historical,NGVD29,2.441448,2.546748
36.8225,-75.98139,Unknown/Historical,NGVD29,2.325624,2.430724
37.12278,-76.34583,Unknown/Historical,NGVD29,2.4384,2.6886
37.12222,-76.34639,Unknown/Historical,NGVD29,2.42316,2.67336
37.12083,-76.34444,Unknown/Historical,NGVD29,2.456688,2.706888
37.12139,-76.34083,Unknown/Historical,NGVD29,2.517648,2.766748
37.12306,-76.33389,Unknown/Historical,NGVD29,2.414016,2.658516
37.12583,-76.33528,Unknown/Historical,NGVD29,2.410968,2.660068
37.12194,-76.34972,Unknown/Historical,NGVD29,2.429256,2.680456
37.1225,-76.35,Unknown/Historical,NGVD29,2.462784,2.713984
37.12056,-76.35861,Unknown/Historical,NGVD29,2.456688,2.708888
37.12861,-76.35083,Unknown/Historical,NGVD29,2.3622,2.6134
37.14472,-76.38778,Unknown/Historical,NGVD29,2.426208,2.689708
37.14722,-76.38139,Unknown/Historical,NGVD29,2.551176,2.813576
37.14944,-76.37528,Unknown/Historical,NGVD29,2.417064,2.679464
38.63799,-77.24313,Fair: +/- 0.20 ft,NGVD29,2.822448,3.113948
38.63844,-77.24421,Unknown/Historical,NGVD29,2.78892,3.08042
38.63767,-77.24417,Good: +/- 0.10 ft,NGVD29,2.761488,3.052688
38.44805,-77.32692,Fair: +/- 0.20 ft,NGVD29,2.578608,2.851508
37.9965,-76.46392,Good: +/- 0.10 ft,NGVD29,1.734312,1.958012
37.99645,-76.46423,Good: +/- 0.10 ft,NGVD29,1.8288,2.0538
38.00881,-76.47348,Good: +/- 0.10 ft,NGVD29,1.594104,1.821304
38.41815,-77.35256,Good: +/- 0.10 ft,NGVD29,2.45364,2.72914
38.4185,-77.35255,Fair: +/- 0.20 ft,NGVD29,2.724912,3.000412
38.37674,-77.01682,Good: +/- 0.10 ft,NGVD29,2.432304,2.684804
38.25529,-76.96268,Good: +/- 0.10 ft,NGVD29,2.57556,2.80836
38.25411,-76.96215,Fair: +/- 0.20 ft,NGVD29,2.578608,2.811408
37.91506,-76.83392,Good: +/- 0.10 ft,NGVD29,2.380488,2.534788
37.89633,-76.80672,Good: +/- 0.10 ft,NGVD29,2.557272,2.713572
37.86056,-76.78042,Good: +/- 0.10 ft,NGVD29,2.721864,2.877964
37.55628,-76.30031,Good: +/- 0.10 ft,NGVD29,1.758696,1.980896
37.50803,-76.28256,Good: +/- 0.10 ft,NGVD29,2.142744,2.372444
37.41972,-76.348,Good: +/- 0.10 ft,NGVD29,1.929384,2.171384
37.37414,-76.35097,Good: +/- 0.10 ft,NGVD29,2.4384,2.68
37.78803,-76.62992,Good: +/- 0.10 ft,NGVD29,1.877568,2.055968
37.8235,-76.67769,Good: +/- 0.10 ft,NGVD29,2.151888,2.301588
37.82306,-76.67764,Good: +/- 0.10 ft,NGVD29,2.023872,2.173472
37.79747,-76.65131,Good: +/- 0.10 ft,NGVD29,1.947672,2.117172
37.80422,-76.63425,Good: +/- 0.10 ft,NGVD29,1.850136,2.015936
37.25299,-76.50576,Fair: +/- 0.20 ft,NGVD29,2.286,2.4862
37.20826,-76.41952,Good: +/- 0.10 ft,NGVD29,2.343912,2.606312
37.20277,-76.42404,Good: +/- 0.10 ft,NGVD29,2.508504,2.770904
37.36561,-76.35259,Excellent: +/- 0.05 ft,NGVD29,2.807208,3.049208
37.36553,-76.90499,Unknown/Historical,NGVD29,1.664208,1.989508
37.36362,-76.89686,Excellent: +/- 0.05 ft,NGVD29,2.776728,3.100628
37.05577,-76.66943,Excellent: +/- 0.05 ft,NGVD29,2.932176,3.178576
