Station ID,Station Name,Deployed,Latitude,Longitude
1611400,"Nawiliwili, HI",,21.9544,-159.3561
1612340,"Honolulu, HI",,21.3067,-157.867
1612480,"Mokuoloe, HI",,21.4331,-157.79
1615680,"Kahului, Kahului Harbor, HI",,20.895,-156.4767
1617433,"Kawaihae, HI",,20.0366,-155.8294
1617760,"Hilo, Hilo Bay, Kuhio Bay, HI",,19.7303,-155.0556
1619910,"Sand Island, Midway Islands, United States of America",,28.2117,-177.36
1630000,"Apra Harbor, Guam, United States of America",,13.4434,144.6564
1631428,"Pago Bay, Guam, United States of America",,13.4283,144.7969
1770000,"Pago Pago, American Samoa, American Samoa",,-14.2767,-170.6894
1820000,"Kwajalein, Marshall Islands, United States of America",,8.7317,167.7361
1890000,"Wake Island, Pacific Ocean, United States of America",,19.2907,166.6176
9076033,"Little Rapids, MI",,46.4858,-84.3017
9076070,"S.W. Pier, St. Marys River, MI",,46.501,-84.3726
9099004,"Point Iroquois, MI",,46.4845,-84.6309
9099018,"Marquette C.G., MI",,46.546,-87.3786
9099064,"Duluth, MN",,46.7758,-92.092
9099090,"Grand Marais, MN",,47.7486,-90.3413
9410170,"San Diego, CA",,32.7142,-117.1736
9410230,"La Jolla, CA",,32.8669,-117.2571
9410647,"Angels Gate, CA",,33.7158,-118.2461
9410660,"Los Angeles, CA",,33.7199,-118.2729
9410665,"Los Angeles Pier J, CA",,33.733,-118.1857
9410666,"Los Angeles Pier 400, CA",,33.7352,-118.2413
9410670,"Los Angeles Pier F, CA",,33.7462,-118.2151
9410690,"Los Angeles Berth 161, CA",,33.7636,-118.2654
9410691,"Los Angeles Badger Avenue Bridge, CA",,33.7663,-118.2401
9410692,"Los Angeles Pier S, CA",,33.7683,-118.2257
9410840,"Santa Monica, CA",,34.0083,-118.5
9411340,"Santa Barbara, CA",,34.4031,-119.6928
9411406,"Oil Platform Harvest, CA",,34.4692,-120.6819
9412110,"Port San Luis, CA",,35.1688,-120.7542
9413450,"Monterey, CA",,36.605,-121.8881
9414290,"San Francisco, CA",,37.8063,-122.4659
9414296,"Pier 17, San Francisco Bay, CA",,37.803,-122.3971
9414311,"San Francisco Pier 1, CA",,37.798,-122.393
9414523,"Redwood City, CA",,37.5068,-122.2115
9414750,"Alameda, CA",,37.7717,-122.3
9414763,"Oakland Berth 67, CA",,37.795,-122.283
9414769,"Oakland Middle Harbor, CA",,37.8006,-122.3297
9414776,"Oakland Berth 34, CA",,37.8106,-122.3
9414797,"Oakland Berth 38, CA",,37.804,-122.3417
9414847,"Point Potrero Richmond, CA",,37.9058,-122.365
9414863,"Richmond, CA",,37.923,-122.4096
9415020,"Point Reyes, CA",,37.9961,-122.9767
9415102,"Martinez-Amorco Pier, CA",,38.0346,-122.1252
9415115,"Pittsburg, Suisun Bay, CA",,38.0416,-121.887
9415118,"Union Pacific Rail Road Bridge, CA",,38.0383,-122.1205
9415141,"Davis Point, CA",,38.0567,-122.2596
9415144,"Port Chicago, CA",,38.056,-122.0395
9416841,"Arena Cove, CA",,38.9146,-123.7111
9418767,"North Spit, CA",,40.7663,-124.2172
9419750,"Crescent City, CA",,41.7456,-124.1844
9431647,"Port Orford, OR",,42.739,-124.4983
9432780,"Charleston, OR",,43.345,-124.322
9435380,"South Beach, OR",,44.6254,-124.0449
9437540,"Garibaldi, OR",,45.5545,-123.9189
9439040,"Astoria, OR",,46.2073,-123.7683
9440422,"Longview, WA",,46.1061,-122.9542
9440910,"Toke Point, WA",,46.7075,-123.9669
9441102,"Westport, WA",,46.9043,-124.1051
9442396,"La Push, WA",,47.9133,-124.637
9443090,"Neah Bay, WA",,48.3703,-124.6019
9444090,"Port Angeles, WA",,48.1247,-123.4411
9444900,"Port Townsend, WA",,48.1129,-122.7595
9446482,"Tacoma MET, WA",,47.276,-122.418
9446484,"Tacoma, WA",,47.27,-122.413
9447130,"Seattle, WA",,47.6026,-122.3393
9449419,"Cherry Point South Dock Met, WA",,48.86,-122.755
9449424,"Cherry Point, WA",,48.8633,-122.758
9449880,"Friday Harbor, WA",,48.5453,-123.0129
9450460,"Ketchikan, AK",,55.3319,-131.6261
9451054,"Port Alexander, AK",,56.2466,-134.6477
9451600,"Sitka, AK",,57.0517,-135.342
9452210,"Juneau, AK",,58.2988,-134.4106
9452400,"Skagway, AK",,59.4508,-135.328
9452634,"Elfin Cove, AK",,58.1947,-136.3469
9453220,"Yakutat, Yakutat Bay, AK",,59.5483,-139.7331
9454050,"Cordova, AK",,60.5583,-145.755
9454240,"Valdez, AK",,61.1242,-146.3631
9455090,"Seward, AK",,60.12,-149.4267
9455500,"Seldovia, AK",,59.4405,-151.7199
9455760,"Nikiski, AK",,60.6833,-151.398
9455920,"Anchorage, AK",,61.2375,-149.8904
9457292,"Kodiak Island, AK",,57.7303,-152.5139
9457804,"Alitak, AK",,56.8974,-154.248
9459450,"Sand Point, AK",,55.3317,-160.5043
9459881,"King Cove, AK",,55.0599,-162.3261
9461380,"Adak Island, AK",,51.8633,-176.632
9461710,"Atka, AK",,52.232,-174.1726
9462450,"Nikolski, AK",,52.9406,-168.8713
9462620,"Unalaska, AK",,53.8792,-166.5403
9463502,"Port Moller, AK",,55.9857,-160.5739
9464212,"Village Cove, St Paul Island, AK",,57.1253,-170.2852
9468333,"Unalakleet, AK",,63.8714,-160.7843
9468756,"Nome, Norton Sound, AK",,64.4946,-165.4396
9491094,"Red Dog Dock, AK",,67.5758,-164.0644
9497645,"Prudhoe Bay, AK",,70.4114,-148.5317
