Station ID,Station Name,Owner,Latitude,Longitude,Sensor
32012,Woods Hole Stratus Wave Station,Woods Hole,-19.425,-85.078,Waves
41041,NORTH EQUATORIAL TWO - 890 NM East of Martinique,NDBC,14.329,-46.082,AirtemperatureBarometricpressureWatertemperatureWavesWinds
41060,Woods Hole Northwest Tropical Atlantic Wave Station,Woods Hole,14.754,-50.949,Waves
41061,Woods Hole SPURS Wave Station,Woods Hole,24.581,-38.0,Waves
43010,Woods Hole Spurs Wave Station,Woods Hole,10.051,-125.032,Waves
45001,"MID SUPERIOR- 60NM North Northeast Hancock, MI",NDBC,48.061,-87.793,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45004,"EAST SUPERIOR -70 NM NE Marquette, MI",NDBC,47.585,-86.585,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45006,"WEST SUPERIOR - 30NM NE of Outer Island, WI",NDBC,47.335,-89.793,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45023,"North Entry Buoy, North Keweenaw Peninsula, MI",Michigan Tech,47.27,-88.607,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45025,"South Entry Buoy, South Keweenaw Peninsula, MI",Michigan Tech,46.969,-88.398,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45028,Western Lake Superior,U Minn Duluth,46.818,-91.828,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45171,"Granite Island Buoy, Granite Island, MI",NMU,46.724,-87.411,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45172,"Grand Marais Buoy, Grand Marais, MI",NMU,46.742,-85.958,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45173,"Munising Buoy, Munising, MI",NMU,46.573,-86.572,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45179,Stannard Rock Buoy,Superior Watershed Partnership,47.195,-87.224,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45180,"Isle of Royale East, MI (230)",U.S. Army Corps,48.019,-87.8,WatertemperatureWaves
46001,"WESTERN GULF OF ALASKA  - 175NM SE of Kodiak, AK",NDBC,56.304,-147.92,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46002,"WEST OREGON - 275NM West of Coos Bay, OR",NDBC,42.612,-130.537,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46005,"WEST WASHINGTON - 300NM West of Aberdeen, WA",NDBC,46.14,-131.07,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46006,"SOUTHEAST PAPA - 600NM West of Eureka, CA",NDBC,40.782,-137.397,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46011,"SANTA MARIA - 21NM NW of Point Arguello, CA",NDBC,34.956,-121.019,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46012,"HALF MOON BAY - 24NM SSW of San Francisco, CA",NDBC,37.363,-122.881,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46013,"BODEGA BAY - 48NM NW of San Francisco, CA",NDBC,38.238,-123.307,AirtemperatureBarometricpressureConductivityCurrentsSalinityWatertemperatureWavesWinds
46014,"PT ARENA - 19NM North of Point Arena, CA",NDBC,39.235,-123.974,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46015,"PORT ORFORD - 15 NM West of Port Orford, OR",NDBC,42.779,-124.874,AirtemperatureBarometricpressureConductivityCurrentsSalinityWatertemperatureWavesWinds
46022,"EEL RIVER - 17NM WSW of Eureka, CA",NDBC,40.72,-124.531,AirtemperatureBarometricpressureConductivityCurrentsSalinityWatertemperatureWavesWinds
46023,"PT ARGUELLO - 17NM WNW of Point Arguello, CA",NDBC,34.714,-120.967,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46025,"Santa Monica Basin - 33NM WSW of Santa Monica, CA",NDBC,33.749,-119.053,AirtemperatureBarometricpressureWatertemperatureWavesWinds
