Station ID,Station Name,Owner,Latitude,Longitude,Sensor
32303,5N 95W,NDBC,5.0,-95.0,WatertemperatureWinds
32304,5S 95W,NDBC,-5.0,-95.0,WatertemperatureWinds
32305,8S 95W,NDBC,-8.0,-95.0,WatertemperatureWinds
32315,5N 110W,NDBC,5.0,-110.0,WatertemperatureWinds
32316,2N 110W,NDBC,2.0,-110.0,WatertemperatureWinds
32317,2S 110W,NDBC,-2.0,-110.0,WatertemperatureWinds
32318,5S 110W,NDBC,-5.0,-110.0,WatertemperatureWinds
32319,8S 110W,NDBC,-8.0,-110.0,WatertemperatureWinds
32320,2N 95W,NDBC,2.0,-95.0,WatertemperatureWinds
32321,0 95W,NDBC,0.0,-95.0,WatertemperatureWinds
32322,2S 95W,NDBC,-2.0,-95.0,WatertemperatureWinds
32323,0 110W,NDBC,0.0,-110.0,WatertemperatureWinds
32ST0,Stratus,Woods Hole,-19.43,-85.074,AirtemperatureBarometricpressureWinds
34002,OOI Southern Ocean Buoy,OOI,-55.0,-90.0,AirtemperatureBarometricpressureSalinityWatertemperatureWinds
41041,NORTH EQUATORIAL TWO - 890 NM East of Martinique,NDBC,14.329,-46.082,AirtemperatureBarometricpressureWatertemperatureWavesWinds
41NT0,NTAS - Northwest Tropical Atlantic,Woods Hole,14.754,-50.949,AirtemperatureBarometricpressureWinds
43001,8N 110W,NDBC,8.0,-110.0,WatertemperatureWinds
45001,"MID SUPERIOR- 60NM North Northeast Hancock, MI",NDBC,48.061,-87.793,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45004,"EAST SUPERIOR -70 NM NE Marquette, MI",NDBC,47.585,-86.585,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45006,"WEST SUPERIOR - 30NM NE of Outer Island, WI",NDBC,47.335,-89.793,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45023,"North Entry Buoy, North Keweenaw Peninsula, MI",Michigan Tech,47.27,-88.607,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45025,"South Entry Buoy, South Keweenaw Peninsula, MI",Michigan Tech,46.969,-88.398,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45027,"McQuade Harbor Nearshore, MN",U Minn Duluth,46.86,-91.932,AirtemperatureBarometricpressureWatertemperatureWinds
45028,Western Lake Superior,U Minn Duluth,46.818,-91.828,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45171,"Granite Island Buoy, Granite Island, MI",NMU,46.724,-87.411,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45172,"Grand Marais Buoy, Grand Marais, MI",NMU,46.742,-85.958,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45173,"Munising Buoy, Munising, MI",NMU,46.573,-86.572,AirtemperatureBarometricpressureWatertemperatureWavesWinds
45179,Stannard Rock Buoy,Superior Watershed Partnership,47.195,-87.224,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46001,"WESTERN GULF OF ALASKA  - 175NM SE of Kodiak, AK",NDBC,56.304,-147.92,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46002,"WEST OREGON - 275NM West of Coos Bay, OR",NDBC,42.612,-130.537,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46005,"WEST WASHINGTON - 300NM West of Aberdeen, WA",NDBC,46.14,-131.07,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46006,"SOUTHEAST PAPA - 600NM West of Eureka, CA",NDBC,40.782,-137.397,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46011,"SANTA MARIA - 21NM NW of Point Arguello, CA",NDBC,34.956,-121.019,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46012,"HALF MOON BAY - 24NM SSW of San Francisco, CA",NDBC,37.363,-122.881,AirtemperatureBarometricpressureWatertemperatureWavesWinds
